Date,Vteam,VPTS,Hteam,HPTS
2016-11-25 07:30:00,Charlotte Hornets,111.0,New York Knicks,113.0
2016-11-25 08:00:00,Atlanta Hawks,68.0,Utah Jazz,95.0
2016-11-25 08:00:00,Miami Heat,90.0,Memphis Grizzlies,81.0
2016-11-25 08:00:00,Toronto Raptors,105.0,Milwaukee Bucks,99.0
2016-11-25 08:00:00,Brooklyn Nets,97.0,Indiana Pacers,118.0
2016-11-25 09:00:00,Minnesota Timberwolves,98.0,Phoenix Suns,85.0
2016-11-25 09:00:00,Oklahoma City Thunder,132.0,Denver Nuggets,129.0
2016-11-25 10:00:00,New Orleans Pelicans,104.0,Portland Trail Blazers,119.0
2016-11-25 10:30:00,Golden State Warriors,109.0,Los Angeles Lakers,85.0
2016-11-25 10:30:00,Houston Rockets,117.0,Sacramento Kings,104.0
2016-11-26 07:00:00,New York Knicks,102.0,Charlotte Hornets,107.0
2016-11-26 07:00:00,San Antonio Spurs,112.0,Washington Wizards,100.0
2016-11-26 08:00:00,Memphis Grizzlies,110.0,Miami Heat,107.0
2016-11-26 08:00:00,Detroit Pistons,88.0,Oklahoma City Thunder,106.0
2016-11-26 10:30:00,Minnesota Timberwolves,102.0,Golden State Warriors,115.0
2016-11-27 01:00:00,Cleveland Cavaliers,112.0,Philadelphia 76ers,108.0
2016-11-27 03:30:00,Denver Nuggets,120.0,Phoenix Suns,114.0
2016-11-27 06:00:00,Los Angeles Clippers,70.0,Indiana Pacers,91.0
2016-11-27 06:00:00,Milwaukee Bucks,104.0,Orlando Magic,96.0
2016-11-27 06:00:00,Sacramento Kings,122.0,Brooklyn Nets,105.0
2016-11-27 07:00:00,New Orleans Pelicans,81.0,Dallas Mavericks,91.0
2016-11-27 09:00:00,Houston Rockets,130.0,Portland Trail Blazers,114.0
2016-11-27 09:30:00,Atlanta Hawks,94.0,Los Angeles Lakers,109.0
2016-11-28 07:00:00,Sacramento Kings,95.0,Washington Wizards,101.0
2016-11-28 07:30:00,Oklahoma City Thunder,112.0,New York Knicks,103.0
2016-11-28 07:30:00,Philadelphia 76ers,95.0,Toronto Raptors,122.0
2016-11-28 07:30:00,Boston Celtics,112.0,Miami Heat,104.0
2016-11-28 08:00:00,Utah Jazz,112.0,Minnesota Timberwolves,103.0
2016-11-28 08:00:00,Charlotte Hornets,104.0,Memphis Grizzlies,85.0
2016-11-28 10:30:00,Atlanta Hawks,100.0,Golden State Warriors,105.0
2016-11-29 07:00:00,Detroit Pistons,112.0,Charlotte Hornets,89.0
2016-11-29 07:30:00,Los Angeles Clippers,122.0,Brooklyn Nets,127.0
2016-11-29 08:00:00,Cleveland Cavaliers,101.0,Milwaukee Bucks,118.0
2016-11-29 08:00:00,Los Angeles Lakers,88.0,New Orleans Pelicans,105.0
2016-11-29 08:30:00,Orlando Magic,95.0,San Antonio Spurs,83.0
2016-11-29 09:00:00,Houston Rockets,101.0,Utah Jazz,120.0
2016-11-30 07:30:00,Detroit Pistons,121.0,Boston Celtics,114.0
2016-11-30 07:30:00,Memphis Grizzlies,105.0,Toronto Raptors,120.0
2016-11-30 08:00:00,Washington Wizards,115.0,Oklahoma City Thunder,126.0
2016-11-30 08:00:00,Los Angeles Lakers,96.0,Chicago Bulls,90.0
2016-11-30 08:00:00,New York Knicks,106.0,Minnesota Timberwolves,104.0
2016-11-30 08:30:00,San Antonio Spurs,94.0,Dallas Mavericks,87.0
2016-11-30 09:00:00,Atlanta Hawks,107.0,Phoenix Suns,109.0
2016-11-30 09:00:00,Miami Heat,106.0,Denver Nuggets,98.0
2016-11-30 10:00:00,Indiana Pacers,109.0,Portland Trail Blazers,131.0
2016-12-01 07:00:00,Dallas Mavericks,87.0,Charlotte Hornets,97.0
2016-12-01 07:30:00,Milwaukee Bucks,111.0,Brooklyn Nets,93.0
2016-12-01 08:00:00,Los Angeles Clippers,113.0,Cleveland Cavaliers,94.0
2016-12-01 08:00:00,Orlando Magic,94.0,Memphis Grizzlies,95.0
2016-12-01 09:00:00,Miami Heat,111.0,Utah Jazz,110.0
2016-12-01 10:30:00,Houston Rockets,132.0,Golden State Warriors,127.0
