Date,Time,Vteam,VPTS,Hteam,HPTS
Sat Apr 8 2017,6:00 PM,Indiana Pacers,,Orlando Magic,
Sat Apr 8 2017,7:00 PM,Milwaukee Bucks,,Philadelphia 76ers,
Sat Apr 8 2017,10:00 PM,Utah Jazz,,Portland Trail Blazers,
Sat Apr 8 2017,8:30 PM,Los Angeles Clippers,,San Antonio Spurs,
Sat Apr 8 2017,7:00 PM,Miami Heat,,Washington Wizards,
Sun Apr 9 2017,3:30 PM,Cleveland Cavaliers,,Atlanta Hawks,
Sun Apr 9 2017,5:00 PM,Oklahoma City Thunder,,Denver Nuggets,
Sun Apr 9 2017,9:30 PM,Minnesota Timberwolves,,Los Angeles Lakers,
Sun Apr 9 2017,6:00 PM,Detroit Pistons,,Memphis Grizzlies,
Sun Apr 9 2017,12:00 PM,Toronto Raptors,,New York Knicks,
Sun Apr 9 2017,6:00 PM,Dallas Mavericks,,Phoenix Suns,
Sun Apr 9 2017,6:00 PM,Houston Rockets,,Sacramento Kings,
Mon Apr 10 2017,7:30 PM,Brooklyn Nets,,Boston Celtics,
Mon Apr 10 2017,8:00 PM,Orlando Magic,,Chicago Bulls,
Mon Apr 10 2017,8:00 PM,Washington Wizards,,Detroit Pistons,
Mon Apr 10 2017,10:30 PM,Utah Jazz,,Golden State Warriors,
Mon Apr 10 2017,10:30 PM,Houston Rockets,,Los Angeles Clippers,
Mon Apr 10 2017,7:30 PM,Cleveland Cavaliers,,Miami Heat,
Mon Apr 10 2017,8:00 PM,Charlotte Hornets,,Milwaukee Bucks,
Mon Apr 10 2017,7:00 PM,Indiana Pacers,,Philadelphia 76ers,
Mon Apr 10 2017,10:00 PM,San Antonio Spurs,,Portland Trail Blazers,
Tue Apr 11 2017,7:30 PM,Charlotte Hornets,,Atlanta Hawks,
Tue Apr 11 2017,8:30 PM,Denver Nuggets,,Dallas Mavericks,
Tue Apr 11 2017,10:30 PM,New Orleans Pelicans,,Los Angeles Lakers,
Tue Apr 11 2017,8:00 PM,Oklahoma City Thunder,,Minnesota Timberwolves,
Tue Apr 11 2017,10:30 PM,Phoenix Suns,,Sacramento Kings,
Wed Apr 12 2017,8:00 PM,Milwaukee Bucks,,Boston Celtics,
Wed Apr 12 2017,8:00 PM,Brooklyn Nets,,Chicago Bulls,
Wed Apr 12 2017,8:00 PM,Toronto Raptors,,Cleveland Cavaliers,
Wed Apr 12 2017,10:30 PM,Los Angeles Lakers,,Golden State Warriors,
Wed Apr 12 2017,8:00 PM,Minnesota Timberwolves,,Houston Rockets,
Wed Apr 12 2017,8:00 PM,Atlanta Hawks,,Indiana Pacers,
Wed Apr 12 2017,10:30 PM,Sacramento Kings,,Los Angeles Clippers,
