Date,Vteam,VPTS,Hteam,HPTS
2017-04-04 09:00:00,Portland Trail Blazers,87.0,Utah Jazz,106.0
2017-04-04 10:30:00,Dallas Mavericks,87.0,Sacramento Kings,98.0
2017-04-04 10:30:00,Minnesota Timberwolves,107.0,Golden State Warriors,121.0
2017-04-05 07:00:00,Miami Heat,112.0,Charlotte Hornets,99.0
2017-04-05 07:30:00,Toronto Raptors,105.0,Detroit Pistons,102.0
2017-04-05 08:00:00,Denver Nuggets,104.0,Houston Rockets,110.0
2017-04-05 08:00:00,Oklahoma City Thunder,103.0,Memphis Grizzlies,100.0
2017-04-05 08:00:00,Cleveland Cavaliers,114.0,Boston Celtics,91.0
2017-04-05 08:30:00,Los Angeles Lakers,102.0,San Antonio Spurs,95.0
2017-04-05 10:00:00,Golden State Warriors,120.0,Phoenix Suns,111.0
2017-04-05 10:30:00,Dallas Mavericks,101.0,Los Angeles Clippers,112.0
2017-04-06 07:00:00,Brooklyn Nets,107.0,Orlando Magic,115.0
2017-04-06 07:00:00,Milwaukee Bucks,89.0,Indiana Pacers,104.0
2017-04-06 07:00:00,Chicago Bulls,102.0,Philadelphia 76ers,90.0
2017-04-06 07:30:00,Washington Wizards,106.0,New York Knicks,103.0
2017-04-06 08:00:00,Boston Celtics,116.0,Atlanta Hawks,123.0
2017-04-06 10:30:00,Minnesota Timberwolves,98.0,Portland Trail Blazers,105.0
2017-04-07 07:30:00,Miami Heat,,Toronto Raptors,
2017-04-07 07:30:00,Atlanta Hawks,,Cleveland Cavaliers,
2017-04-07 08:00:00,Detroit Pistons,,Houston Rockets,
2017-04-07 08:00:00,New York Knicks,,Memphis Grizzlies,
2017-04-07 08:30:00,San Antonio Spurs,,Dallas Mavericks,
2017-04-07 09:00:00,New Orleans Pelicans,,Denver Nuggets,
2017-04-07 09:00:00,Minnesota Timberwolves,,Utah Jazz,
2017-04-07 10:00:00,Oklahoma City Thunder,,Phoenix Suns,
2017-04-07 10:30:00,Sacramento Kings,,Los Angeles Lakers,
2017-04-08 05:00:00,Chicago Bulls,,Brooklyn Nets,
2017-04-08 06:00:00,Boston Celtics,,Charlotte Hornets,
2017-04-08 06:00:00,Indiana Pacers,,Orlando Magic,
2017-04-08 07:00:00,Milwaukee Bucks,,Philadelphia 76ers,
2017-04-08 07:00:00,Miami Heat,,Washington Wizards,
2017-04-08 08:30:00,Los Angeles Clippers,,San Antonio Spurs,
2017-04-08 10:00:00,Utah Jazz,,Portland Trail Blazers,
2017-04-08 10:30:00,New Orleans Pelicans,,Golden State Warriors,
2017-04-09 00:00:00,Toronto Raptors,,New York Knicks,
2017-04-09 03:30:00,Cleveland Cavaliers,,Atlanta Hawks,
2017-04-09 05:00:00,Oklahoma City Thunder,,Denver Nuggets,
2017-04-09 06:00:00,Detroit Pistons,,Memphis Grizzlies,
2017-04-09 06:00:00,Dallas Mavericks,,Phoenix Suns,
2017-04-09 06:00:00,Houston Rockets,,Sacramento Kings,
2017-04-09 09:30:00,Minnesota Timberwolves,,Los Angeles Lakers,
2017-04-10 07:00:00,Indiana Pacers,,Philadelphia 76ers,
2017-04-10 07:30:00,Brooklyn Nets,,Boston Celtics,
2017-04-10 07:30:00,Cleveland Cavaliers,,Miami Heat,
2017-04-10 08:00:00,Charlotte Hornets,,Milwaukee Bucks,
2017-04-10 08:00:00,Washington Wizards,,Detroit Pistons,
2017-04-10 08:00:00,Orlando Magic,,Chicago Bulls,
2017-04-10 10:00:00,San Antonio Spurs,,Portland Trail Blazers,
2017-04-10 10:30:00,Houston Rockets,,Los Angeles Clippers,
2017-04-10 10:30:00,Utah Jazz,,Golden State Warriors,
2017-04-11 07:30:00,Charlotte Hornets,,Atlanta Hawks,
2017-04-11 08:00:00,Oklahoma City Thunder,,Minnesota Timberwolves,
2017-04-11 08:30:00,Denver Nuggets,,Dallas Mavericks,
2017-04-11 10:30:00,New Orleans Pelicans,,Los Angeles Lakers,
2017-04-11 10:30:00,Phoenix Suns,,Sacramento Kings,
2017-04-12 08:00:00,Detroit Pistons,,Orlando Magic,
2017-04-12 08:00:00,Denver Nuggets,,Oklahoma City Thunder,
2017-04-12 08:00:00,Philadelphia 76ers,,New York Knicks,
2017-04-12 08:00:00,Washington Wizards,,Miami Heat,
2017-04-12 08:00:00,Dallas Mavericks,,Memphis Grizzlies,
2017-04-12 08:00:00,Brooklyn Nets,,Chicago Bulls,
2017-04-12 08:00:00,Minnesota Timberwolves,,Houston Rockets,
2017-04-12 08:00:00,Toronto Raptors,,Cleveland Cavaliers,
2017-04-12 08:00:00,Milwaukee Bucks,,Boston Celtics,
2017-04-12 08:00:00,Atlanta Hawks,,Indiana Pacers,
2017-04-12 10:30:00,Sacramento Kings,,Los Angeles Clippers,
2017-04-12 10:30:00,Los Angeles Lakers,,Golden State Warriors,
2017-04-12 10:30:00,New Orleans Pelicans,,Portland Trail Blazers,
2017-04-12 10:30:00,San Antonio Spurs,,Utah Jazz,
